USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0  53044 11508 ?        Ss   янв21   0:11 /usr/lib/systemd/systemd --switched-root --system --deserialize=48 rhgb
root         863  0.0  0.0      0     0 ?        S    янв21   0:36 [irq/174-iwlwifi:queue_1]
root         864  0.0  0.0      0     0 ?        S    янв21   2:40 [irq/175-iwlwifi:queue_2]
root         865  0.0  0.0      0     0 ?        S    янв21   1:05 [irq/176-iwlwifi:queue_3]
root         866  0.0  0.0      0     0 ?        S    янв21   0:48 [irq/177-iwlwifi:queue_4]
root         867  0.0  0.0      0     0 ?        S    янв21   0:14 [irq/178-iwlwifi:queue_5]
root         869  0.0  0.0      0     0 ?        S    янв21   0:50 [irq/179-iwlwifi:queue_6]
root         870  0.0  0.0      0     0 ?        S    янв21   3:07 [irq/180-iwlwifi:queue_7]
root         872  0.0  0.0      0     0 ?        S    янв21   0:53 [irq/181-iwlwifi:queue_8]
root         874  0.0  0.0      0     0 ?        S    янв21   0:19 [irq/182-iwlwifi:queue_9]
root         875  0.0  0.0      0     0 ?        S    янв21   0:37 [irq/183-iwlwifi:queue_10]
root         876  0.0  0.0      0     0 ?        S    янв21   0:36 [irq/184-iwlwifi:queue_11]
root         878  0.0  0.0      0     0 ?        S    янв21   0:22 [irq/185-iwlwifi:queue_12]
root         880  0.0  0.0      0     0 ?        S    янв21   0:00 [irq/186-iwlwifi:exception]
systemd+     944  0.0  0.0  16536  5532 ?        Ss   янв21   0:38 /usr/lib/systemd/systemd-oomd
systemd+     945  0.0  0.0  28344  8316 ?        Ss   янв21   7:38 /usr/lib/systemd/systemd-resolved
root         974  0.0  0.0 109612  2132 ?        S<sl янв21   0:00 /usr/sbin/auditd
root         976  0.0  0.0   6408  2516 ?        S<   янв21   0:00 /usr/sbin/sedispatch
dbus         980  0.0  0.0   9672  3712 ?        Ss   янв21   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         981  0.0  0.0  12400  4324 ?        S    янв21   1:14 dbus-broker --log 4 --controller 9 --machine-id 0e8978d64297488ca4312ca8202ef1ab --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        983  0.0  0.0  25716  3744 ?        Ss   янв21   0:21 avahi-daemon: running [0140L.local]
root         984  0.0  0.0   9692  4180 ?        Ss   янв21   0:02 /usr/libexec/bluetooth/bluetoothd
root         986  0.0  0.0  81740  3888 ?        Ssl  янв21   1:03 /usr/sbin/irqbalance
root         989  0.0  0.0   2672  1948 ?        Ss   янв21   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      990  0.0  0.1 652048 16896 ?        Ssl  янв21   0:15 /usr/lib/polkit-1/polkitd --no-debug
root         991  0.0  0.0 512152  7392 ?        Ssl  янв21   1:41 /usr/sbin/rsyslogd -n
rtkit        992  0.0  0.0  87148  2516 ?        SNsl янв21   0:06 /usr/libexec/rtkit-daemon
root         993  0.0  0.0  10380  3100 ?        Ss   янв21   0:00 /usr/sbin/smartd -n -q never --capabilities=mail
root         994  0.0  0.0 247724  5752 ?        Ss   янв21   0:01 /usr/sbin/sssd -i --logger=files
root         995  0.0  0.0 527920  5008 ?        Ssl  янв21   0:00 /usr/libexec/switcheroo-control
root         996  0.0  0.0  16728  5664 ?        Ss   янв21   0:03 /usr/lib/systemd/systemd-homed
root         997  0.0  0.0 486204  9896 ?        Ssl  янв21   0:03 /usr/libexec/udisks2/udisksd
root         998  0.0  0.0 549892 15276 ?        Ssl  янв21   0:31 /usr/libexec/upowerd
avahi       1000  0.0  0.0  25444   936 ?        S    янв21   0:00 avahi-daemon: chroot helper
root        1009  0.0  0.0      0     0 ?        S    янв21   0:00 [psimon]
root        1019  0.0  0.0   4748  2696 ?        SNs  янв21   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1021  0.0  0.0 555784  7416 ?        Ssl  янв21   0:00 /usr/sbin/abrtd -d -s
chrony      1026  0.0  0.0  85308  3612 ?        S    янв21   0:01 /usr/sbin/chronyd -F 2
root        1030  0.0  0.0 335796 13884 ?        S    янв21   0:18 /usr/libexec/sssd/sssd_be --domain corp.onevision.kz --uid 0 --gid 0 --logger=files
root        1045  0.0  0.0 405124  7548 ?        Ssl  янв21   0:00 /usr/sbin/ModemManager
root        1047  0.0  0.0 368580 12824 ?        Ssl  янв21   0:00 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
root        1080  0.0  0.0 593492  7228 ?        Ss   янв21   0:02 /usr/bin/abrt-dump-journal-core -D -T -f -e
root        1081  0.0  0.0 601056  8480 ?        Ss   янв21   0:02 /usr/bin/abrt-dump-journal-oops -fxtD
root        1084  0.0  0.0 560728  7428 ?        Ss   янв21   0:02 /usr/bin/abrt-dump-journal-xorg -fxtD
root        1088  0.0  0.0 281612  7988 ?        S    янв21   0:08 /usr/libexec/sssd/sssd_nss --uid 0 --gid 0 --logger=files
root        1089  0.0  0.0 250568  7276 ?        S    янв21   0:05 /usr/libexec/sssd/sssd_pam --uid 0 --gid 0 --logger=files
